 61 4750.884182 8.466E-29 2.705E-04.04600.058 2182.91460.59-.009500    0 1 1 0 1F1    0 0 0 0 1A1   21F2244        20F1  4     123332453637 7 1 7   129.0  123.0
 61 4750.917695 2.519E-29 4.756E-05.04600.058 2179.81590.59-.009500    0 1 1 0 1F1    0 0 0 0 1A1   21A2 82        20A1  1     123332453637 7 1 7   215.0  205.0
 61 4750.935230 7.785E-29 1.638E-05.04500.060 1592.35890.61-.009500    0 1 1 0 1F2    0 0 0 0 1A1   18F2228        17F1  1     324332453638 7 1 7   111.0  105.0
 61 4750.947302 2.203E-26 4.073E-02.03800.058 1977.19730.60-.009500    0 1 1 0 1F1    0 0 0 0 1A1   20E 160        19E   3     134332453638 7 1 7    82.0   78.0
 61 4750.949662 3.172E-29 9.982E-05.04600.058 2179.81620.59-.009500    0 1 1 0 1F1    0 0 0 0 1A1   21F2242        20F1  1     123332453637 7 1 7   129.0  123.0
 61 4750.965860 5.010E-28 1.194E-04.04900.060 1594.38330.61-.009502    0 0 0 4  F1    0 0 0 0 1A1   16F2  6        17F1  5     353333594932 3 3 3    99.0  105.0
 61 4750.995090 4.809E-28 2.378E-04.04500.059 1779.02440.60-.009500    0 1 1 0 1F2    0 0 0 0 1A1   19F1235        18F2  2     124332453638 7 1 7   117.0  111.0
 61 4750.998653 3.540E-28 1.131E-03.04600.058 2182.91460.59-.009500    0 1 1 0 1F1    0 0 0 0 1A1   21F2245        20F1  4     123332453637 7 1 7   129.0  123.0
 61 4751.026090 1.890E-28 6.740E-05.04900.060 1593.92840.61-.009502    0 0 0 4  F1    0 0 0 0 1A1   16E   4        17E   2     353333594932 3 3 3    66.0   70.0
 61 4751.087156 1.529E-28 1.138E-04.03800.059 1779.65110.60-.009500    0 1 1 0 1F2    0 0 0 0 1A1   19E 156        18E   2     124332453638 7 1 7    78.0   74.0
 61 4751.109333 1.014E-26 2.997E-03.04600.059 1778.20500.60-.009500    0 1 1 0 1F2    0 0 0 0 1A1   19A1 77        18A2  1     134332453638 7 1 7   195.0  185.0
 61 4751.149041 1.133E-27 1.393E-03.04400.058 1976.65030.60-.009500    0 1 1 0 1F1    0 0 0 0 1A1   20F1238        19F2  4     334332453638 7 1 7   123.0  117.0
 61 4751.169025 3.296E-26 6.975E-03.04500.060 1593.52290.61-.009500    0 1 1 0 1F1    0 0 0 0 1A1   18F2229        17F1  3     334332453638 7 1 7   111.0  105.0
 61 4751.186166 1.926E-29 6.095E-05.04600.058 2180.95040.59-.009500    0 3 0 0 1A1    0 0 0 0 1A1   21F1244        20F2  1     123332453637 7 1 7   129.0  123.0
 61 4751.187490 1.223E-28 2.310E-04.04600.058 2179.81590.59-.009500    0 1 1 0 1F1    0 0 0 0 1A1   21A2 83        20A1  1     123332453637 7 1 7   215.0  205.0
 61 4751.190013 2.348E-28 2.147E-03.04500.057 2399.26980.58-.009500    0 3 0 0 1E     0 0 0 0 1A1   21F1294        21F2  4     123332453637 7 1 7   129.0  129.0
 61 4751.190032 1.102E-26 3.535E-02.04600.058 2183.71830.59-.009500    0 3 0 0 1A1    0 0 0 0 1A1   21F1246        20F2  5     133332453637 7 1 7   129.0  123.0
 61 4751.237271 8.440E-28 4.175E-04.04500.059 1779.03020.60-.009500    0 1 1 0 1F2    0 0 0 0 1A1   19F2232        18F1  1     124332453638 7 1 7   117.0  111.0
 61 4751.237879 2.873E-26 3.542E-02.04400.058 1977.21470.60-.009500    0 1 1 0 1F1    0 0 0 0 1A1   20F2240        19F1  5     334332453638 7 1 7   123.0  117.0
 61 4751.301442 1.487E-28 2.836E-04.04600.058 2181.85060.59-.009500    0 3 0 0 1A1    0 0 0 0 1A1   21A1 79        20A2  1     123332453637 7 1 7   215.0  205.0
 61 4751.310880 1.740E-27 9.637E-04.04900.059 1779.98470.60-.009503    0 0 0 4  E     0 0 0 0 1A1   17F1 11        18F2  3     353333594932 3 3 3   105.0  111.0
 61 4751.315650 4.045E-28 1.290E-03.04600.058 2182.48320.59-.009500    0 1 1 0 1F1    0 0 0 0 1A1   21F2244        20F1  3     123332453637 7 1 7   129.0  123.0
 61 4751.322940 1.270E-28 3.021E-05.04900.060 1594.02620.61-.009503    0 0 0 4  F1    0 0 0 0 1A1   16F2  6        17F1  4     353333594932 3 3 3    99.0  105.0
 61 4751.329404 7.377E-27 3.549E-02.04600.058 2183.70290.59-.009500    0 3 0 0 1A1    0 0 0 0 1A1   21E 163        20E   4     133332453637 7 1 7    86.0   82.0
 61 4751.406431 1.674E-27 5.336E-03.04600.058 2182.40010.59-.009500    0 1 1 0 1F1    0 0 0 0 1A1   21F1245        20F2  3     133332453637 7 1 7   129.0  123.0
 61 4751.419560 9.408E-27 2.731E-03.06500.078 1409.00600.72-.009500    0 0 2 0 1F2    0 0 0 1 1F2    5F1174         4F2  2     444332473838 7 1 7    33.0   27.0
 61 4751.430122 1.703E-27 5.430E-03.04600.058 2182.48320.59-.009500    0 1 1 0 1F1    0 0 0 0 1A1   21F2245        20F1  3     133332453637 7 1 7   129.0  123.0
 61 4751.458266 5.035E-28 1.678E-03.04600.058 2181.82080.59-.009500    0 3 0 0 1E     0 0 0 0 1A1   20F1278        20F2  2     123332453637 7 1 7   123.0  123.0
 61 4751.643725 1.648E-28 3.480E-05.04500.060 1593.04830.61-.009500    0 1 1 0 1F1    0 0 0 0 1A1   18F2229        17F1  2     324332453638 7 1 7   111.0  105.0
 61 4751.658453 1.536E-29 4.835E-05.04600.058 2179.81620.59-.009500    0 3 0 0 1A1    0 0 0 0 1A1   21F2243        20F1  1     123332453637 7 1 7   129.0  123.0
 61 4751.713960 8.730E-28 2.690E-05.04800.063 1252.00210.62-.009503    0 0 0 4  F2    0 0 0 0 1A1   14A2  1        15A1  1     353333594932 3 3 3   145.0  155.0
 61 4751.786804 8.683E-28 4.296E-04.04500.059 1779.02440.60-.009500    0 1 1 0 1F1    0 0 0 0 1A1   19F1236        18F2  2     124332453638 7 1 7   117.0  111.0
 61 4751.814879 3.076E-27 1.516E-03.04500.059 1778.20460.60-.009500    0 1 1 0 1F2    0 0 0 0 1A1   19F1235        18F2  1     134332453638 7 1 7   117.0  111.0
 61 4751.814944 3.198E-27 1.023E-02.04600.058 2183.09350.59-.009500    0 3 0 0 1A1    0 0 0 0 1A1   21F1246        20F2  4     133332453637 7 1 7   129.0  123.0
 61 4751.823470 1.160E-28 5.958E-06.04800.063 1252.02780.62-.009504    0 0 0 4  F2    0 0 0 0 1A1   14F2  3        15F1  4     353333594932 3 3 3    87.0   93.0
 61 4751.878379 8.509E-28 1.046E-03.04400.058 1976.57420.60-.009500    0 1 1 0 1F1    0 0 0 0 1A1   20F2240        19F1  4     324332453638 7 1 7   123.0  117.0
 61 4751.893283 9.709E-29 8.852E-04.04500.057 2398.56640.58-.009500    0 3 0 0 1E     0 0 0 0 1A1   21F1294        21F2  3     123332453637 7 1 7   129.0  129.0
 61 4751.945043 1.898E-28 3.494E-04.03800.058 1976.19960.60-.009500    0 1 1 0 1F1    0 0 0 0 1A1   20E 160        19E   2     124332453638 7 1 7    82.0   78.0
